Mapping of Comorbidities Included in the PDPM NTA Component to ICD-10-CM Codes,,,,
Overview,,,,
"The following mappings of CCs and RxCCs to ICD-10-CM codes are based on the FY 2026 Initial Risk Adjustment model software (using HCC model v22 for CCs) and the FY 2024 Midyear Risk Adjustment model software (using RxHCC v05 for RxCCs) found at https://www.cms.gov/medicare/payment/medicare-advantage-rates-statistics/risk-adjustment. New codes with values of ""N/A"" in the RxCC/CC column (column D) have been added from the latest FY 2026 ICD-10-CM addenda found at https://www.cms.gov/medicare/coding-billing/icd-10-codes and were assigned to NTA comorbidities that share the same code family (i.e. the first 3 digits) to ensure the established NTA comorbidities are up to date. The FY 2026 ICD-10-CM addenda is also used to add new codes if they belong to the Endocarditis comorbidity and to confirm if any existing codes become unbillable and need to be removed from the existing NTA mappings.",,,,
No data,,,,
Sort Order,Comorbidity Description,RxCC/CC,ICD-10-CM Code,ICD-10-CM Code Description
This is a filter cell,This is a filter cell,This is a filter cell,This is a filter cell,This is a filter cell
174,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.219 ,"Other streptococcal arthritis, unspecified shoulder "
175,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.221 ,"Other streptococcal arthritis, right elbow "
176,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.222 ,"Other streptococcal arthritis, left elbow "
177,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.229 ,"Other streptococcal arthritis, unspecified elbow "
178,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.231 ,"Other streptococcal arthritis, right wrist "
179,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.232 ,"Other streptococcal arthritis, left wrist "
180,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.239 ,"Other streptococcal arthritis, unspecified wrist "
181,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.241 ,"Other streptococcal arthritis, right hand "
182,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.242 ,"Other streptococcal arthritis, left hand "
183,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.249 ,"Other streptococcal arthritis, unspecified hand "
184,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.251 ,"Other streptococcal arthritis, right hip "
185,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.252 ,"Other streptococcal arthritis, left hip "
186,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.259 ,"Other streptococcal arthritis, unspecified hip "
187,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.261 ,"Other streptococcal arthritis, right knee "
188,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.262 ,"Other streptococcal arthritis, left knee "
189,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.269 ,"Other streptococcal arthritis, unspecified knee "
190,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.271 ,"Other streptococcal arthritis, right ankle and foot "
191,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.272 ,"Other streptococcal arthritis, left ankle and foot "
192,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.279 ,"Other streptococcal arthritis, unspecified ankle and foot "
193,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.28 ,"Other streptococcal arthritis, vertebrae "
194,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.29 ,Other streptococcal polyarthritis 
195,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.80 ,"Arthritis due to other bacteria, unspecified joint "
196,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.811 ,"Arthritis due to other bacteria, right shoulder "
197,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.812 ,"Arthritis due to other bacteria, left shoulder "
198,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.819 ,"Arthritis due to other bacteria, unspecified shoulder "
199,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.821 ,"Arthritis due to other bacteria, right elbow "
200,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.822 ,"Arthritis due to other bacteria, left elbow "
201,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.829 ,"Arthritis due to other bacteria, unspecified elbow "
202,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.831 ,"Arthritis due to other bacteria, right wrist "
203,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.832 ,"Arthritis due to other bacteria, left wrist "
204,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.839 ,"Arthritis due to other bacteria, unspecified wrist "
205,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.841 ,"Arthritis due to other bacteria, right hand "
206,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.842 ,"Arthritis due to other bacteria, left hand "
207,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.849 ,"Arthritis due to other bacteria, unspecified hand "
208,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.851 ,"Arthritis due to other bacteria, right hip "
209,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.852 ,"Arthritis due to other bacteria, left hip "
210,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.859 ,"Arthritis due to other bacteria, unspecified hip "
211,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.861 ,"Arthritis due to other bacteria, right knee "
212,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.862 ,"Arthritis due to other bacteria, left knee "
213,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.869 ,"Arthritis due to other bacteria, unspecified knee "
214,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.871 ,"Arthritis due to other bacteria, right ankle and foot "
215,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.872 ,"Arthritis due to other bacteria, left ankle and foot "
216,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.879 ,"Arthritis due to other bacteria, unspecified ankle and foot "
217,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.88 ,"Arthritis due to other bacteria, vertebrae "
218,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.89 ,Polyarthritis due to other bacteria 
219,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.9 ,"Pyogenic arthritis, unspecified "
220,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X0 ,Direct infection of unspecified joint in infectious and parasitic diseases classified elsewhere 
221,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X11 ,Direct infection of right shoulder in infectious and parasitic diseases classified elsewhere 
222,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X12 ,Direct infection of left shoulder in infectious and parasitic diseases classified elsewhere 
223,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X19 ,Direct infection of unspecified shoulder in infectious and parasitic diseases classified elsewhere 
224,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X21 ,Direct infection of right elbow in infectious and parasitic diseases classified elsewhere 
225,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X22 ,Direct infection of left elbow in infectious and parasitic diseases classified elsewhere 
226,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X29 ,Direct infection of unspecified elbow in infectious and parasitic diseases classified elsewhere 
227,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X31 ,Direct infection of right wrist in infectious and parasitic diseases classified elsewhere 
228,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X32 ,Direct infection of left wrist in infectious and parasitic diseases classified elsewhere 
229,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X39 ,Direct infection of unspecified wrist in infectious and parasitic diseases classified elsewhere 
230,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X41 ,Direct infection of right hand in infectious and parasitic diseases classified elsewhere 
231,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X42 ,Direct infection of left hand in infectious and parasitic diseases classified elsewhere 
232,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X49 ,Direct infection of unspecified hand in infectious and parasitic diseases classified elsewhere 
233,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X51 ,Direct infection of right hip in infectious and parasitic diseases classified elsewhere 
234,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X52 ,Direct infection of left hip in infectious and parasitic diseases classified elsewhere 
235,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X59 ,Direct infection of unspecified hip in infectious and parasitic diseases classified elsewhere 
236,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X61 ,Direct infection of right knee in infectious and parasitic diseases classified elsewhere 
237,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X62 ,Direct infection of left knee in infectious and parasitic diseases classified elsewhere 
238,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X69 ,Direct infection of unspecified knee in infectious and parasitic diseases classified elsewhere 
239,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X71 ,Direct infection of right ankle and foot in infectious and parasitic diseases classified elsewhere 
240,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X72 ,Direct infection of left ankle and foot in infectious and parasitic diseases classified elsewhere 
241,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X79 ,Direct infection of unspecified ankle and foot in infectious and parasitic diseases classified elsewhere 
242,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X8 ,Direct infection of vertebrae in infectious and parasitic diseases classified elsewhere 
243,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M01.X9 ,Direct infection of multiple joints in infectious and parasitic diseases classified elsewhere 
244,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.10 ,"Postdysenteric arthropathy, unspecified site "
245,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.111 ,"Postdysenteric arthropathy, right shoulder "
246,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.112 ,"Postdysenteric arthropathy, left shoulder "
247,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.119 ,"Postdysenteric arthropathy, unspecified shoulder "
248,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.121 ,"Postdysenteric arthropathy, right elbow "
249,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.122 ,"Postdysenteric arthropathy, left elbow "
250,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.129 ,"Postdysenteric arthropathy, unspecified elbow "
251,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.131 ,"Postdysenteric arthropathy, right wrist "
252,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.132 ,"Postdysenteric arthropathy, left wrist "
253,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.139 ,"Postdysenteric arthropathy, unspecified wrist "
254,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.141 ,"Postdysenteric arthropathy, right hand "
255,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.142 ,"Postdysenteric arthropathy, left hand "
256,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.149 ,"Postdysenteric arthropathy, unspecified hand "
257,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.151 ,"Postdysenteric arthropathy, right hip "
258,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.152 ,"Postdysenteric arthropathy, left hip "
259,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.159 ,"Postdysenteric arthropathy, unspecified hip "
260,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.161 ,"Postdysenteric arthropathy, right knee "
261,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.162 ,"Postdysenteric arthropathy, left knee "
262,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.169 ,"Postdysenteric arthropathy, unspecified knee "
263,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.171 ,"Postdysenteric arthropathy, right ankle and foot "
264,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.172 ,"Postdysenteric arthropathy, left ankle and foot "
265,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.179 ,"Postdysenteric arthropathy, unspecified ankle and foot "
266,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.18 ,"Postdysenteric arthropathy, vertebrae "
267,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.19 ,"Postdysenteric arthropathy, multiple sites "
268,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.80 ,"Other reactive arthropathies, unspecified site "
269,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.811 ,"Other reactive arthropathies, right shoulder "
270,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.812 ,"Other reactive arthropathies, left shoulder "
271,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.819 ,"Other reactive arthropathies, unspecified shoulder "
272,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.821 ,"Other reactive arthropathies, right elbow "
273,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.822 ,"Other reactive arthropathies, left elbow "
274,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.829 ,"Other reactive arthropathies, unspecified elbow "
275,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.831 ,"Other reactive arthropathies, right wrist "
276,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.832 ,"Other reactive arthropathies, left wrist "
277,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.839 ,"Other reactive arthropathies, unspecified wrist "
278,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.841 ,"Other reactive arthropathies, right hand "
279,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.842 ,"Other reactive arthropathies, left hand "
280,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.849 ,"Other reactive arthropathies, unspecified hand "
281,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.851 ,"Other reactive arthropathies, right hip "
282,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.852 ,"Other reactive arthropathies, left hip "
283,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.859 ,"Other reactive arthropathies, unspecified hip "
284,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.861 ,"Other reactive arthropathies, right knee "
285,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.862 ,"Other reactive arthropathies, left knee "
286,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.869 ,"Other reactive arthropathies, unspecified knee "
287,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.871 ,"Other reactive arthropathies, right ankle and foot "
288,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.872 ,"Other reactive arthropathies, left ankle and foot "
289,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.879 ,"Other reactive arthropathies, unspecified ankle and foot "
290,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.88 ,"Other reactive arthropathies, vertebrae "
291,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.89 ,"Other reactive arthropathies, multiple sites "
292,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M02.9 ,"Reactive arthropathy, unspecified "
293,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M46.20 ,"Osteomyelitis of vertebra, site unspecified "
294,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M46.21 ,"Osteomyelitis of vertebra, occipito-atlanto-axial region "
295,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M46.22 ,"Osteomyelitis of vertebra, cervical region "
296,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M46.23 ,"Osteomyelitis of vertebra, cervicothoracic region "
297,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M46.24 ,"Osteomyelitis of vertebra, thoracic region "
298,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M46.25 ,"Osteomyelitis of vertebra, thoracolumbar region "
299,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M46.26 ,"Osteomyelitis of vertebra, lumbar region "
300,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M46.27 ,"Osteomyelitis of vertebra, lumbosacral region "
301,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M46.28 ,"Osteomyelitis of vertebra, sacral and sacrococcygeal region "
302,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M46.30 ,"Infection of intervertebral disc (pyogenic), site unspecified "
303,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M46.31 ,"Infection of intervertebral disc (pyogenic), occipito-atlanto-axial region "
304,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M46.32 ,"Infection of intervertebral disc (pyogenic), cervical region "
305,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M46.33 ,"Infection of intervertebral disc (pyogenic), cervicothoracic region "
306,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M46.34 ,"Infection of intervertebral disc (pyogenic), thoracic region "
307,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M46.35 ,"Infection of intervertebral disc (pyogenic), thoracolumbar region "
308,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M46.36 ,"Infection of intervertebral disc (pyogenic), lumbar region "
309,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M46.37 ,"Infection of intervertebral disc (pyogenic), lumbosacral region "
310,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M46.38 ,"Infection of intervertebral disc (pyogenic), sacral and sacrococcygeal region "
311,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M46.39 ,"Infection of intervertebral disc (pyogenic), multiple sites in spine "
312,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M72.6 ,Necrotizing fasciitis 
313,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M86.00 ,"Acute hematogenous osteomyelitis, unspecified site "
314,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M86.011 ,"Acute hematogenous osteomyelitis, right shoulder "
315,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M86.012 ,"Acute hematogenous osteomyelitis, left shoulder "
316,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M86.019 ,"Acute hematogenous osteomyelitis, unspecified shoulder "
317,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M86.021 ,"Acute hematogenous osteomyelitis, right humerus "
318,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M86.022 ,"Acute hematogenous osteomyelitis, left humerus "
319,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M86.029 ,"Acute hematogenous osteomyelitis, unspecified humerus "
320,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M86.031 ,"Acute hematogenous osteomyelitis, right radius and ulna "
321,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M86.032 ,"Acute hematogenous osteomyelitis, left radius and ulna "
322,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M86.039 ,"Acute hematogenous osteomyelitis, unspecified radius and ulna "
323,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M86.041 ,"Acute hematogenous osteomyelitis, right hand "
324,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M86.042 ,"Acute hematogenous osteomyelitis, left hand "
325,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M86.049 ,"Acute hematogenous osteomyelitis, unspecified hand "
326,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M86.051 ,"Acute hematogenous osteomyelitis, right femur "
327,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M86.052 ,"Acute hematogenous osteomyelitis, left femur "
328,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M86.059 ,"Acute hematogenous osteomyelitis, unspecified femur "
329,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M86.061 ,"Acute hematogenous osteomyelitis, right tibia and fibula "
330,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M86.062 ,"Acute hematogenous osteomyelitis, left tibia and fibula "
