Mapping of Comorbidities Included in the PDPM NTA Component to ICD-10-CM Codes,,,,
Overview,,,,
"The following mappings of CCs and RxCCs to ICD-10-CM codes are based on the FY 2026 Initial Risk Adjustment model software (using HCC model v22 for CCs) and the FY 2024 Midyear Risk Adjustment model software (using RxHCC v05 for RxCCs) found at https://www.cms.gov/medicare/payment/medicare-advantage-rates-statistics/risk-adjustment. New codes with values of ""N/A"" in the RxCC/CC column (column D) have been added from the latest FY 2026 ICD-10-CM addenda found at https://www.cms.gov/medicare/coding-billing/icd-10-codes and were assigned to NTA comorbidities that share the same code family (i.e. the first 3 digits) to ensure the established NTA comorbidities are up to date. The FY 2026 ICD-10-CM addenda is also used to add new codes if they belong to the Endocarditis comorbidity and to confirm if any existing codes become unbillable and need to be removed from the existing NTA mappings.",,,,
No data,,,,
Sort Order,Comorbidity Description,RxCC/CC,ICD-10-CM Code,ICD-10-CM Code Description
This is a filter cell,This is a filter cell,This is a filter cell,This is a filter cell,This is a filter cell
142,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.071 ,"Staphylococcal arthritis, right ankle and foot "
143,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.072 ,"Staphylococcal arthritis, left ankle and foot "
144,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.079 ,"Staphylococcal arthritis, unspecified ankle and foot "
145,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.08 ,"Staphylococcal arthritis, vertebrae "
146,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.09 ,Staphylococcal polyarthritis 
147,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.10 ,"Pneumococcal arthritis, unspecified joint "
148,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.111 ,"Pneumococcal arthritis, right shoulder "
149,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.112 ,"Pneumococcal arthritis, left shoulder "
150,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.119 ,"Pneumococcal arthritis, unspecified shoulder "
151,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.121 ,"Pneumococcal arthritis, right elbow "
152,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.122 ,"Pneumococcal arthritis, left elbow "
153,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.129 ,"Pneumococcal arthritis, unspecified elbow "
154,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.131 ,"Pneumococcal arthritis, right wrist "
155,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.132 ,"Pneumococcal arthritis, left wrist "
156,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.139 ,"Pneumococcal arthritis, unspecified wrist "
157,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.141 ,"Pneumococcal arthritis, right hand "
158,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.142 ,"Pneumococcal arthritis, left hand "
159,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.149 ,"Pneumococcal arthritis, unspecified hand "
160,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.151 ,"Pneumococcal arthritis, right hip "
161,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.152 ,"Pneumococcal arthritis, left hip "
162,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.159 ,"Pneumococcal arthritis, unspecified hip "
163,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.161 ,"Pneumococcal arthritis, right knee "
164,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.162 ,"Pneumococcal arthritis, left knee "
165,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.169 ,"Pneumococcal arthritis, unspecified knee "
166,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.171 ,"Pneumococcal arthritis, right ankle and foot "
167,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.172 ,"Pneumococcal arthritis, left ankle and foot "
168,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.179 ,"Pneumococcal arthritis, unspecified ankle and foot "
169,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.18 ,"Pneumococcal arthritis, vertebrae "
170,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.19 ,Pneumococcal polyarthritis 
171,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.20 ,"Other streptococcal arthritis, unspecified joint "
172,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.211 ,"Other streptococcal arthritis, right shoulder "
173,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.212 ,"Other streptococcal arthritis, left shoulder "
